ProteinName,Ibaq,IbaqLog,IbaqPpb,Condition
sp|Q9Y4A5|TRRAP_HUMAN,11310820.22692,76.87046747924894,10.897250280042664,stomach
sp|Q15517|CDSN_HUMAN,11300389.795,76.86913646392884,10.887201227464615,stomach
sp|Q8IWA4|MFN1_HUMAN,11298351.774999999,76.86887625108946,10.885237725828995,stomach
sp|Q8IYB5|SMAP1_HUMAN,11278852.618333332,76.86638423807234,10.866451538250777,stomach
sp|P04733|MT1F_HUMAN,11278704.566666668,76.86636530043619,10.866308899959863,stomach
sp|Q8IVL5|P3H2_HUMAN,11266605.674418604,76.86481686190635,10.85465239280182,stomach
sp|Q9Y3R5|DOP2_HUMAN,11259823.180305345,76.86394809828822,10.848117894472583,stomach
sp|O15084|ANR28_HUMAN,11259439.32888889,76.86389891545775,10.847748078237197,stomach
sp|Q5VW38|GP107_HUMAN,11245372.98235294,76.86209543887215,10.834196054983991,stomach
sp|Q06546|GABPA_HUMAN,11223448.8,76.85927998913465,10.813073510597981,stomach
sp|Q15771|RAB30_HUMAN,11214056.422222221,76.8580721598774,10.804024556648066,stomach
sp|Q8N0Y7|PGAM4_HUMAN,11195013.413421867,76.85562018296139,10.785677838300566,stomach
sp|O95858|TSN15_HUMAN,11185965.142857144,76.85445366597905,10.776960409593613,stomach
sp|P30203|CD6_HUMAN,11179248.9,76.8535871873005,10.770489740103027,stomach
sp|Q6Q4G3|AMPQ_HUMAN,11174956.136842104,76.85303309484357,10.766353937960826,stomach
sp|Q15024|EXOS7_HUMAN,11164738.265,76.85171335664145,10.75650967339301,stomach
sp|Q9NX76|CKLF6_HUMAN,11162439.542857142,76.85141628774397,10.75429500195341,stomach
sp|Q8WUB8|PHF10_HUMAN,11159287.732142856,76.85100887288206,10.751258434357089,stomach
sp|Q9NXE4|NSMA3_HUMAN,11147885.041176472,76.84953395651235,10.740272672508365,stomach
sp|Q9Y605|MOFA1_HUMAN,11146601.2,76.84936779961771,10.739035773827352,stomach
sp|Q9H0L4|CSTFT_HUMAN,11136682.030333335,76.84808339842019,10.729479289659158,stomach
sp|Q8WXX5|DNJC9_HUMAN,11130582.727777777,76.84729305134653,10.723603002604094,stomach
sp|Q6ZT12|UBR3_HUMAN,11130440.530380953,76.84727462025495,10.723466004526918,stomach
sp|Q2TAL8|QRIC1_HUMAN,11114914.174999999,76.84526073467342,10.708507356336183,stomach
sp|Q96GJ1|TRM2B_HUMAN,11100413.064516129,76.84337728880487,10.69453646588695,stomach
sp|P53801|PTTG_HUMAN,11093135.8125,76.84243117100917,10.687525300031623,stomach
sp|A0PJK1|SC5AA_HUMAN,11079884.74736842,76.840706800784,10.674758748153069,stomach
sp|Q8WVZ9|KBTB7_HUMAN,11075058.017073171,76.84007818259755,10.670108502900616,stomach
sp|P52948|NUP98_HUMAN,11073218.985393258,76.83983860081062,10.668336713756515,stomach
sp|Q6NYC8|PPR18_HUMAN,11065256.566285715,76.83880082898858,10.660665433326916,stomach
sp|P54840|GYS2_HUMAN,11057226.923809525,76.8377535391674,10.652929387490552,stomach
sp|Q9UKG9|OCTC_HUMAN,11057188.7025,76.83774855222181,10.652892563708761,stomach
sp|Q9NXW2|DJB12_HUMAN,11053375.418181818,76.83725092525944,10.649218708694667,stomach
sp|P06729|CD2_HUMAN,11014721.505263157,76.83219694478234,10.611978141262155,stomach
sp|Q9NV96|CC50A_HUMAN,11008777.8,76.83141823525966,10.606251762224739,stomach
sp|Q13488|VPP3_HUMAN,10990782.069767442,76.82905797380823,10.58891402964814,stomach
sp|O94829|IPO13_HUMAN,10977955.01590909,76.82737325893169,10.576555985452782,stomach
sp|Q12857|NFIA_HUMAN,10962410.820833333,76.82532903258931,10.561580149859603,stomach
